ISO3,country,L,M,H,lon,lat,cumscc,cumpop,id
SAU,Saudi Arabia,26.7166358465021,47.3486952664664,85.6672557161401,44.53686271,24.12245841,0.875359760924028,0.997726763867382,132
SDN,Sudan,2.01399130354483,3.73567776574891,7.58364175301205,29.94046812,15.99035669,0.393411640755345,0.851858508408487,133
SEN,Senegal,0.228797030701113,0.405194714998324,0.735453708528449,-14.4734924,14.36624173,-0.024872154180392,0.425553797960105,134
SLB,Solomon Islands,0.0115201448772529,0.01880451245636,0.0323823781911587,159.63287668,-8.92178022,-0.0171678685780105,0.441120089527601,135
SLE,Sierra Leone,0.0527997569772618,0.0883758107207006,0.150611817766512,-11.79271247,8.56329593,-0.0987659869041785,0.200892234271471,136
SLV,El Salvador,0.16517677387401,0.275945026831821,0.464538810667988,-88.87164469,13.73943744,0.0464146183646117,0.532798199079623,137
SOM,Somalia,0.0020414604046601,0.00318726558746127,0.00502864152961035,45.70714487,4.75062876,-0.114220180382964,0.101537175259774,138
SRB,Serbia,-0.187785536320087,-0.103662179120612,-0.0166337054089574,20.78958334,44.2215032,-0.113935322677699,0.0965290200962326,139
STP,São Tomé & Príncipe,0.00395375200732257,0.0065986655174992,0.0110190426664448,6.72429658,0.44391445,0.00407918166425165,0.477762714563193,140
SUR,Suriname,0.042587959875715,0.0732603306295734,0.127438496795229,-55.9123457,4.13055413,0.528595871925007,0.923480456900758,141
SVK,Slovakia,-0.418040565418326,-0.263057405156425,-0.116901445701896,19.47905218,48.70547528,-0.0986517857047751,0.0576244001329372,142
SVN,Slovenia,-0.200074999181881,-0.126059039942701,-0.0536301474354544,14.80444238,46.11554772,-0.0882023315853057,0.0477048964175867,143
SWE,Sweden,-2.69787177393432,-2.0055923438627,-1.35929117095994,16.74558049,62.77966519,-0.0330615899826705,0.00792901694869527,144
SWZ,Swaziland,0.0183556285856339,0.0311270027637701,0.0484335200079705,31.4819369,-26.55843045,-0.025999325864859,0.423194996420668,145
SYR,Syria,0.418263107421551,0.807893658126598,1.38243011170407,38.50788204,35.02547389,0.0039887662207402,0.477623323622255,146
TCD,Chad,0.265547672072624,0.46720729685052,0.906181169315449,18.64492513,15.33333758,-0.00534403679412107,0.462388713724466,147
TGO,Togo,0.0539475971592113,0.0890522346446477,0.153594120123097,0.96232845,8.52531356,-0.0985463572466492,0.201854613661608,148
THA,Thailand,4.40992112127599,7.60396616682754,13.6368617419481,101.0028813,15.11815794,0.46350344247629,0.893185541906088,149
TJK,Tajikistan,-0.0179368539577835,0.00357691840720642,0.0296429886359223,71.01362631,38.5304539,-0.114206236284491,0.103176539684693,150
TKM,Turkmenistan,0.105742114727203,0.266347016193033,0.513986395141097,59.37100021,39.11554137,0.104660598793739,0.602802604309455,151
TTO,Trinidad & Tobago,0.170959448552935,0.289375305907812,0.489510574230916,-61.26567923,10.45733408,0.687552251831512,0.9804348812208,152
TUN,Tunisia,0.354931797565205,0.651312927507253,1.14254631823529,9.55288359,34.11956246,0.107769620859165,0.605831778410195,153
TUR,Turkey,-1.07975376382956,0.890529871752256,3.4162299507291,35.16895346,39.0616029,-0.106525332821637,0.165395815388733,154
TZA,Tanzania,0.629471004814234,1.0434059622453,1.66579709456322,34.81309981,-6.27565408,-0.0340563383249366,0.400795374759951,155
UGA,Uganda,0.496188392562289,0.83788804180419,1.39040302994417,32.36907971,1.27469299,-0.0297167528539156,0.413512087006397,156
UKR,Ukraine,-0.854905948362692,-0.530406277121663,-0.212087465372772,31.38326469,48.99656673,-0.113471623626994,0.0943072290072813,157
URY,Uruguay,0.0658964326156727,0.130189518535635,0.233056064796076,-56.01807053,-32.79951534,0.0054341719814977,0.479681522117335,158
USA,United States,0.563405427985125,47.8215783037875,118.302273280859,-112.4616737,45.6795472,0.655616615541276,0.971386240262637,159
